amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
104-2573325-6015430		2011-07-31T18:14:20+00:00	2011-08-01T18:39:43+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Powerlifting Band - Power (50 - 120 Lbs Resistance)	PLB-4	B0053YB2WI	Shipped	1	USD	39.95		5.49						BLYTHEWOOD	SC	29016-9542	US		
103-9147988-5558605		2011-07-31T08:46:37+00:00	2011-08-01T18:34:19+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	29.99		4.99						FPO	AE	09510-6650	US		
102-4902280-6545860		2011-07-31T00:48:29+00:00	2011-08-01T18:28:07+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Padded Ankle Grips and Carabiner	ACC-3	B0054LUGI6	Shipped	1	USD	5.95		4.99						Braintree	MA	02184-6640	US		
104-5906988-1938666		2011-07-30T06:08:23+00:00	2011-08-01T18:41:01+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Pull Up / Crossfit Band - Power (50 - 120 Lbs Resistance)	PUB-5	B0053YB29Q	Shipped	1	USD	39.95		5.49						SANTA MONICA	CA	90401-4104	US		
105-0684093-7784214		2011-07-30T01:46:06+00:00	2011-08-01T18:43:00+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	29.99		4.99						ORLANDO	FL	32836-5336	US		
103-5679771-3106628		2011-07-30T00:38:30+00:00	2011-08-01T18:30:11+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	29.99		4.99						OCEANSIDE	CA	92056-5302	US		
105-2207223-9122647		2011-07-29T13:06:30+00:00	2011-07-29T14:51:07+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	29.99		4.99						MONUMENT	COLORADO	80132-6055	US		
104-4540672-0671459		2011-07-29T01:52:25+00:00	2011-07-29T14:41:20+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Pull Up / Crossfit Band - Heavy (30 - 50 Lbs Resistance)	PUB-3	B0053YB1TW	Shipped	1	USD	19.5		4.99						MIDLAND CITY	ALABAMA	36350-3470	US		
102-0384687-3413028		2011-07-28T18:57:12+00:00	2011-07-28T19:39:13+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Door Anchor Strap	ACC-4	B0054LUGQ8	Shipped	1	USD	1.95		4.99						DURHAM	NC	27705-4220	US		
002-6791475-3870626		2011-07-28T17:40:47+00:00	2011-07-29T14:49:15+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	29.99		4.99						RALEIGH	NC	27614-8178	US		
