amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
102-5765386-2133855		2011-09-01T02:12:37+00:00	2011-09-01T13:57:11+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Pull Up / Crossfit Band Complete Set - Light, Medium, Heavy, Robust, Power, Strong Bands (#1 - #6)	COMBO-1-6-PU	B0058V0LN2	Shipped	1	USD	155.99		6.49					6.49	PHENIX CITY	AL	36867-2602	US	FreeShipping2	
105-2565785-9165009		2011-09-01T01:40:24+00:00	2011-09-01T13:53:16+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	32.99		4.99						Centennial	CO	80015-3798	US		
102-2346745-8333033		2011-09-01T01:40:02+00:00	2011-09-02T14:43:58+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Pull Up / Crossfit Band Set - Heavy, Robust, Power Bands (#3 - #5)	COMBO-3-5-PU	B0058V0LAK	Shipped	1	USD	81.99		5.49						FPO	AP	96306-2731	US		
105-9939303-8204234		2011-09-01T01:29:18+00:00	2011-09-01T13:42:07+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Robust Bands (#2 & #4)	COMBO-2-5-PU	B0058V0LSM	Shipped	1	USD	37.99		5.49						YUMA	AZ	85367-6594	US		
105-2911194-8070640		2011-08-31T19:53:27+00:00	2011-09-01T13:44:27+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Therapy / Rehabilitation(Rehab) Band Set - Light, Medium, Heavy Bands (#1 - #3)	COMBO-1-3-RE	B0058V0KNS	Shipped	1	USD	39.99		4.99				6.0		Washington	DC	20007-1611	US	BACK2SCHOOL	
102-0418392-6052227		2011-08-31T19:19:49+00:00	2011-09-01T14:04:35+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	32.99		4.99						Waipahu	HI	96797	US		
002-4064039-9628253		2011-08-31T18:48:39+00:00	2011-09-01T14:34:09+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	32.99		4.99						AURORA	CO	80010-1217	US		
103-5531960-5316227		2011-08-31T18:32:05+00:00	2011-09-01T13:54:48+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Therapy / Rehabilitation(Rehab) Band Set - Light, Medium, Heavy Bands (#1 - #3)	COMBO-1-3-RE	B0058V0KNS	Shipped	1	USD	39.99		4.99						BILLINGS	MT	59106-4731	US		
105-1275679-7488238		2011-08-31T11:46:49+00:00	2011-08-31T13:42:27+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Powerlifting Band - Power (50 - 120 Lbs Resistance)	PLB-4	B0053YB2WI	Shipped	1	USD	39.95		5.49						APO	AE	09311	US		
104-4758786-1626664		2011-08-31T05:22:06+00:00	2011-08-31T13:31:10+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Therapy / Rehabilitation(Rehab) Band - Power (50 - 120 Lbs Resistance)	BANDMAIN-5	B0053SZ9XM	Shipped	1	USD	39.5		5.49						TUCSON	AZ	85742-7802	US		
105-9224575-2486661		2011-08-31T05:09:42+00:00	2011-08-31T13:28:01+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Therapy / Rehabilitation(Rehab) Band Set - Light, Medium, Heavy Bands (#1 - #3)	COMBO-1-3-RE	B0058V0KNS	Shipped	1	USD	39.99		1.62						BAYSIDE	NY	11360-1942	US		
105-9224575-2486661		2011-08-31T05:09:42+00:00	2011-08-31T13:28:01+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Soft Hand Grip and Carabiner	ACC-1	B0054LY17I	Shipped	2	USD	9.9		3.25						BAYSIDE	NY	11360-1942	US		
105-9224575-2486661		2011-08-31T05:09:42+00:00	2011-08-31T13:28:01+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Padded Ankle Grips and Carabiner	ACC-3	B0054LUGI6	Shipped	1	USD	5.95		1.62						BAYSIDE	NY	11360-1942	US		
