amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
102-8618666-2388243	102-8618666-2388243	2012-03-01T07:32:44+00:00	2012-03-01T23:48:29+00:00	Shipped	Amazon	Amazon.com			NextDay	Rubberbanditz Powerlifting Band - Heavy (30 - 50 Lbs Resistance)	PLB-6	B0054HELXQ	Shipped	1	USD	19.5		3.99						Bowling Green	ky	42104	US		
002-8716112-5938644		2012-03-01T07:01:10+00:00	2012-03-02T14:05:27+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	33.45		4.99		0.0				MOORPARK	CA	93021-1641	US		
102-5956751-1495441		2012-03-01T05:14:11+00:00	2012-03-02T14:00:24+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-23-PU	B0058V0L6O	Shipped	1	USD	33.45		4.99		0.0				Camp Pendleton	California	92055	US		
105-2892340-6627464		2012-03-01T04:49:20+00:00	2012-03-02T13:51:46+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Pull Up / Crossfit Band - Heavy (30 - 50 Lbs Resistance)	PUB-3	B0053YB1TW	Shipped	1	USD	19.5		4.99		0.0				MEDFIELD	MA	02052-1444	US		
102-5709220-6539404		2012-03-01T04:40:48+00:00	2012-03-02T14:01:21+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	33.45		4.99		0.0				CASTAIC	CA	91384-3826	US		
102-6778188-9475469		2012-03-01T04:34:32+00:00	2012-03-02T14:34:50+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Door Anchor Strap	ACC-4	B0054LUGQ8	Shipped	2	USD	3.9		0.0		0.0				San Diego	CA	92111	US		
105-4946771-7666640		2012-03-01T04:32:27+00:00	2012-03-01T14:10:22+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band - Power (50 - 120 Lbs Resistance)	PUB-5	B0053YB29Q	Shipped	1	USD	39.95		5.49		0.0				Arlington	VA	22202	US		
105-1540559-1941864		2012-03-01T04:14:35+00:00	2012-03-02T13:53:56+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band - Heavy (30 - 50 Lbs Resistance)	PUB-3	B0053YB1TW	Shipped	1	USD	19.5		4.99		0.0				ALBANY	CA	94706-2059	US		
103-8916026-5589815		2012-03-01T04:12:57+00:00	2012-03-01T14:14:33+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Robust Bands (#2 & #4)	COMBO-25-PU	B0058V0LSM	Shipped	1	USD	37.99		5.49		0.0				PHOENIX	AZ	85044-3516	US		
103-9804899-8428219		2012-03-01T03:34:33+00:00	2012-03-01T14:13:09+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Door Anchor Strap	ACC-4	B0054LUGQ8	Shipped	1	USD	1.95		0.0		0.0				YPSILANTI	MI	48197-1867	US		
103-9804899-8428219		2012-03-01T03:34:33+00:00	2012-03-01T14:13:09+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Padded Ankle Grips and Carabiner	ACC-3	B0054LUGI6	Shipped	2	USD	11.9		0.0		0.0				YPSILANTI	MI	48197-1867	US		
103-4678386-5751414		2012-03-01T03:33:40+00:00	2012-03-02T13:57:44+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy, Power Bands (#2, #3, #5)	COMBO-235-PU	B006JOZ664	Shipped	1	USD	72.95		5.49		0.0				OMAHA	NEBRASKA	68116-8218	US		
002-4155977-6617806	002-4155977-6617806	2012-03-01T03:14:02+00:00	2012-03-01T07:51:03+00:00	Shipped	Amazon	Amazon.com		http://www.amazon.com	SecondDay	Rubberbanditz Powerlifting Band - Strong (60 - 150 Lbs Resistance)	PLB-5	B0054GSIM2	Shipped	1	USD	54.95		11.97						pocatello	idaho	83202	US		
102-3331792-2937064		2012-03-01T02:42:24+00:00	2012-03-02T14:04:39+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Therapy / Rehabilitation(Rehab) Band Set - Light, Medium, Heavy Bands (#1 - #3)	COMBO-1-3-RE	B0058V0KNS	Shipped	1	USD	39.99		0.0		0.0				BETHESDA	MD	20892-0001	US		
102-0012477-1768210	102-0012477-1768210	2012-03-01T02:22:56+00:00	2012-03-02T00:17:14+00:00	Shipped	Amazon	Amazon.com		http://www.amazon.com	SecondDay	Rubberbanditz Powerlifting Band - Heavy (30 - 50 Lbs Resistance)	PLB-6	B0054HELXQ	Shipped	1	USD	19.5								ORLANDO	FL	32811-2590	US		
105-2103990-9081045		2012-03-01T01:40:18+00:00	2012-03-02T13:53:06+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Pull Up / Crossfit Band - Heavy (30 - 50 Lbs Resistance)	PUB-3	B0053YB1TW	Shipped	1	USD	19.5		2.74		0.0				SUPPLY	NC	28462-2610	US		
105-2103990-9081045		2012-03-01T01:40:18+00:00	2012-03-02T13:53:06+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Pull Up / Crossfit Band - Robust (40 - 80 Lbs Resistance)	PUB-4	B0053YB21O	Shipped	1	USD	25.5		2.75		0.0				SUPPLY	NC	28462-2610	US		
103-5626076-7923420	103-5626076-7923420	2012-03-01T01:10:59+00:00	2012-03-02T04:15:16+00:00	Shipped	Amazon	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Powerlifting Band - Power (50 - 120 Lbs Resistance)	PLB-4	B0053YB2WI	Shipped	1	USD	39.95		5.58						terrytown	Louisiana	70056	US		
102-9962595-3911418		2012-03-01T00:35:58+00:00	2012-03-02T13:58:38+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	33.45		4.99		0.0				jacksonville	nc	28546	US		
002-3899344-0722627		2012-02-29T23:55:38+00:00	2012-03-02T14:08:45+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band - Heavy (30 - 50 Lbs Resistance)	PUB-3	B0053YB1TW	Shipped	1	USD	19.5		4.99		0.0				TEMECULA	CA	92592-3392	US		
102-6729933-6107454		2012-02-29T23:16:00+00:00	2012-03-01T14:09:25+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Soft Hand Grip and Carabiner	ACC-1	B0054LY17I	Shipped	1	USD	4.95		0.0		0.0				Richmond	UT	84333	US		
105-0617529-3484218		2012-02-29T23:10:25+00:00	2012-03-01T14:11:40+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band - Power (50 - 120 Lbs Resistance)	PUB-5	B0053YB29Q	Shipped	1	USD	39.95		3.25		0.0				Jersey City	NJ	07302	US		
105-0617529-3484218		2012-02-29T23:10:25+00:00	2012-03-01T14:11:40+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band - Robust (40 - 80 Lbs Resistance)	PUB-4	B0053YB21O	Shipped	1	USD	25.5		2.74		0.0				Jersey City	NJ	07302	US		
