amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids 
002-6005338-6459427		2011-12-01T06:07:23+00:00	2011-12-01T18:04:52+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band - Heavy (30 - 50 Lbs Resistance)	PUB-3	B0053YB1TW	Shipped	1	USD	19.5		4.99		0.0				BROOKLYN	NY	11215-5805	US		
002-9781313-6354661		2011-12-01T02:59:45+00:00	2011-12-01T18:03:30+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Mobile Travel Gym Resistance Exercise Band Package Kit - Robust	MGPMAIN-4	B0053U4NTG	Shipped	1	USD	94.5		5.99		0.0				KIRKLAND	WA	98033-6240	US		
002-4395567-6085842		2011-11-30T23:22:14+00:00	2011-12-01T18:07:57+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band - Power (50 - 120 Lbs Resistance)	PUB-5	B0053YB29Q	Shipped	1	USD	39.95		5.49		0.0				Brooklyn	NY	11229-4503	US		
002-5122777-0792219		2011-11-30T23:12:06+00:00	2011-12-01T18:06:06+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band - Robust (40 - 80 Lbs Resistance)	PUB-4	B0053YB21O	Shipped	1	USD	25.5		4.99		0.0				dallas	tx	75230	US		
102-8393513-9123405		2011-11-30T22:04:25+00:00	2011-12-01T17:58:12+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Pull Up / Crossfit Band - Power (50 - 120 Lbs Resistance)	PUB-5	B0053YB29Q	Shipped	1	USD	39.95		5.49		0.0				SAN JOSE	CA	95134-2250	US		
103-6508277-5993855		2011-11-30T21:50:57+00:00	2011-12-01T17:56:02+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	32.99		4.99		0.0				FPO	AP	96377	US		
104-0392647-6525066		2011-11-30T20:09:48+00:00	2011-12-01T17:53:06+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band - Robust (40 - 80 Lbs Resistance)	PUB-4	B0053YB21O	Shipped	1	USD	25.5		4.99		0.0				Seattle	WA	98124	US		
102-3254019-9588220		2011-11-30T17:09:53+00:00	2011-11-30T19:46:49+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	32.99		4.99		0.0				NORTHFIELD	MA	01360-9641	US		
105-5072140-9528240		2011-11-30T17:01:15+00:00	2011-11-30T19:36:58+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	32.99		4.99		0.0				Covington	WA	98042	US		
102-9638005-4884236		2011-11-30T16:43:52+00:00	2011-11-30T19:43:00+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Pull Up / Crossfit Band - Heavy (30 - 50 Lbs Resistance)	PUB-3	B0053YB1TW	Shipped	1	USD	19.5		4.99		0.0				APO	AE	09356	US		
104-7983075-0692255		2011-11-30T16:43:20+00:00	2011-11-30T19:38:48+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Robust Bands (#2 & #4)	COMBO-2-5-PU	B0058V0LSM	Shipped	1	USD	37.99		5.49		0.0				APO	AE	09311	US		
104-1260706-7235460		2011-11-30T15:51:36+00:00	2011-11-30T19:41:16+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band - Strong (60 - 150 Lbs Resistance)	PUB-6	B0053YB2N2	Shipped	1	USD	54.95		2.5		0.0				GROVELAND	CA	95321-9339	US		
104-1260706-7235460		2011-11-30T15:51:36+00:00	2011-11-30T19:41:16+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band - Medium (20 - 35 Lbs Resistance)	PUB-2	B0053YB1QU	Shipped	1	USD	13.5		1.99		0.0				GROVELAND	CA	95321-9339	US		
104-1260706-7235460		2011-11-30T15:51:36+00:00	2011-11-30T19:41:16+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band - Robust (40 - 80 Lbs Resistance)	PUB-4	B0053YB21O	Shipped	1	USD	25.5		2.0		0.0				GROVELAND	CA	95321-9339	US		
002-4445834-7155464		2011-11-30T13:22:38+00:00	2011-11-30T19:47:47+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	32.99		4.99		0.0				Roslindale	MA	02131-2603	US		
102-5773780-6778608		2011-11-30T11:08:41+00:00	2011-11-30T19:45:04+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Robust Bands (#2 & #4)	COMBO-2-5-PU	B0058V0LSM	Shipped	1	USD	37.99		3.24		0.0				FPO	AP	96310	US		
102-5773780-6778608		2011-11-30T11:08:41+00:00	2011-11-30T19:45:04+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Powerlifting Band - Heavy (30 - 50 Lbs Resistance)	PLB-6	B0054HELXQ	Shipped	1	USD	19.5		2.75		0.0				FPO	AP	96310	US		
002-3255626-2909805		2011-11-30T05:48:09+00:00	2011-11-30T19:33:53+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band - Robust (40 - 80 Lbs Resistance)	PUB-4	B0053YB21O	Shipped	1	USD	25.5		4.99		0.0				KAMUELA	HI	96743-8476	US		
105-4349780-1343406		2011-11-30T03:12:29+00:00	2011-11-30T19:24:58+00:00	Shipped	Merchant	Amazon.com			Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	2	USD	65.98		5.49		0.0				Stratham	NH	03885-2326	US		
105-8074536-0507402		2011-11-30T02:22:03+00:00	2011-11-30T19:23:38+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Robust Bands (#2 & #4)	COMBO-2-5-PU	B0058V0LSM	Shipped	1	USD	37.99		5.49		0.0				St George	UT	84790-6442	US		
002-8114624-6076264		2011-11-30T01:26:11+00:00	2011-11-30T19:30:07+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	32.99		4.99		0.0				BRANFORD	CT	06405-3302	US		
002-9567679-3445808		2011-11-30T00:58:41+00:00	2011-11-30T19:28:57+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	32.99		4.99		0.0				DORAL	FLORIDA	33178-3628	US		
002-4508601-0882667		2011-11-30T00:29:06+00:00	2011-11-30T19:31:15+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band - Robust (40 - 80 Lbs Resistance)	PUB-4	B0053YB21O	Shipped	1	USD	25.5		4.99		0.0				Cambridge	OH	43725-2135	US		
002-2412785-8201011		2011-11-29T23:24:34+00:00	2011-11-30T19:36:01+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band - Power (50 - 120 Lbs Resistance)	PUB-5	B0053YB29Q	Shipped	1	USD	39.95		5.49		0.0				Asheville	NC	28806	US		
002-3604839-7319433		2011-11-29T22:29:20+00:00	2011-11-30T19:32:33+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band - Medium (20 - 35 Lbs Resistance)	PUB-2	B0053YB1QU	Shipped	1	USD	13.5		4.99		0.0				CRYSTAL LAKE	IL	60014-2931	US		
103-5165483-4715423		2011-11-29T22:16:22+00:00	2011-11-30T19:26:09+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	32.99		4.99		0.0				ARLINGTON	VA	22201-2037	US		
002-7908128-6355443		2011-11-29T21:23:21+00:00	2011-12-04T21:54:37+00:00	Cancelled	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O		0										DORAL	FLORIDA	33178-3628	US		
102-5287999-8327420		2011-11-29T20:17:57+00:00	2011-11-30T19:27:29+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band - Medium (20 - 35 Lbs Resistance)	PUB-2	B0053YB1QU	Shipped	1	USD	13.5		2.75		0.0				Leo	IN	46765	US		
102-5287999-8327420		2011-11-29T20:17:57+00:00	2011-11-30T19:27:29+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band - Robust (40 - 80 Lbs Resistance)	PUB-4	B0053YB21O	Shipped	1	USD	25.5		2.74		0.0				Leo	IN	46765	US		
104-9036056-0957000		2011-11-29T18:18:22+00:00	2011-11-29T18:52:21+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Therapy / Rehabilitation(Rehab) Band - Power (50 - 120 Lbs Resistance)	BANDMAIN-5	B0053SZ9XM	Shipped	1	USD	39.5		5.49		0.0				Scottsdale	AZ	85260	US		
104-1985636-5490642		2011-11-29T17:15:50+00:00	2011-11-29T18:46:33+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	32.99		4.99		0.0				GRANITE BAY	CA	95746-5848	US		
105-8693144-4769030		2011-11-29T17:06:50+00:00	2011-11-29T18:43:18+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	32.99		4.99		0.0				Milton	DE	19968-9731	US		
002-2918458-2069050		2011-11-29T16:57:54+00:00	2011-11-30T19:35:02+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Robust Bands (#2 & #4)	COMBO-2-5-PU	B0058V0LSM	Shipped	1	USD	37.99		5.49		0.0				DAYTON	OH	45410-1413	US		
103-3262131-1948238		2011-11-29T16:45:12+00:00	2011-11-29T18:48:40+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Heavy, Robust, Power Bands (#3 - #5)	COMBO-3-5-PU	B0058V0LAK	Shipped	1	USD	81.99		5.49		0.0				Winter Haven	FL	33880-3563	US		
002-2900567-9786648		2011-11-29T15:23:46+00:00	2011-11-29T18:57:25+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	32.99		4.99		0.0				KEY BISCAYNE	FLORIDA	33149-1511	US		
002-6872406-9761840		2011-11-29T15:10:07+00:00	2011-11-29T18:50:38+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	32.99		4.99		0.0				huntington bay	NY	11743	US		
002-2997430-5642622		2011-11-29T14:57:37+00:00	2011-11-29T18:55:18+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	32.99		4.99		0.0				bow	Wa	98232	US		
104-4088013-5709021		2011-11-29T12:48:09+00:00	2011-11-29T18:45:08+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Therapy / Rehabilitation(Rehab) Band Set - Light, Medium, Heavy Bands (#1 - #3)	COMBO-1-3-RE	B0058V0KNS	Shipped	1	USD	39.99		4.99		0.0				BROOKLYN	NY	11209-7123	US		
104-8385781-1369820		2011-11-29T06:58:54+00:00	2011-11-29T18:14:19+00:00	Shipped	Merchant	Amazon.com		http://www.amazon.com	Standard	Rubberbanditz Pull Up / Crossfit Band Set - Medium, Heavy Bands (#2 & #3)	COMBO-2-3-PU	B0058V0L6O	Shipped	1	USD	32.99		4.99		0.0				APO	AE	09320	US		
